,Alabama,English,Class
6939,somolocha,dried Spanish moss,
6940,somopaapatka impaapatka,Spanish moss saddle blanket,
6941,somosfahka,Var. of somo isfahka,
6942,somospatka,Spanish moss mattress,
6943,somotaɬka,woven Spanish moss,
6944,soⁿhoka,sonka,
6945,sonka,to suck,-LI/3
6946,sonok,money,
6947,sonokchaf,Var. of sonokcháffàaka,
6948,sonok chaffa,Var. of sonokcháffàaka,
6949,sonokcháffàaka,"dollar, dollar bill",
6950,sonokkiɬayli,species of mint plant,
6951,soobi,"to stoop over, bend over",
6952,soobìichi,to bend (someone) over,-LI/CHA-
6953,soofi,"to spill, throw, discard (more than one thing); to flush (the toilet)",-LI/3
6954,soofíkko,Negative form of sofka,
6955,soofka,Var. of sofka,
6956,sooka,to be held in the arms (as a baby or bag of groceries),
6957,sòoka,"movie, picture show",
6958,sòoli,"to hold in the arms, carry (as a baby), cradle in the arms",-LI/CHA-
6959,soopli,Var. of sopli,
6960,sopàali,to clean (more than one or repeatedly),-LI/CHA-
6961,sopahli,Var. of sopàali,
6962,sopatka,"to be cleaned, bare",CHA-
6963,sopátkàasi,"to be neat, clean",CHA-
6964,sopatli,to get (something) clean,
6965,sopiika,white sucker fish,
6966,sopli,"to skin (an animal), scrape, rub the skin off of (as shoes that are too small)",-LI/CHA-
6967,sowi,"to be thin, slim, slender, skinny (of people or animals); to be dry (of one); to lose weight",CHA-
6968,sowiichi,"to make lose weight (as disease, diet pills, doctor's orders, etc.)",-LI/CHA-
6969,sowiisowi,"locust, cicada; the whirring noise of a cicada",
6970,stìitka,"the State, the state of Texas",
6971,faayàali,"to stop, quit doing, be through with, go out of business, leave off doing; to leave (someone or something); to release let go of (something) (of more than two)",-LI/CHA-
6972,faayahli,"to stop, quit doing, be through with, go out of business, leave off doing; to leave (someone or something); to release let go of (something) (of two)",-LI/CHA-
6973,fachala,"woodpecker, redheaded woodpecker",
6974,fachopli,"to sprout, come up (of a crop), come out (of leaves)",Other Verb
6975,fahka,"to be wound up, spun into a bundle (as moss)",
6976,fahli,to move (something) with a circular motion using the hand,-LI/3
6977,fakohlichi,"to leaf through (a book), turn (pages), flip through (a book), riffle (pages); to untangle",-LI/3
6978,fakoolichi,Var. of fakohlichi,
6979,fakopka,to be opened (of one),
6980,fakopli,"to bud, put out leaves, leaf out (as a tree or plant)",Other Verb
6981,falaíⁿkko,Negative form of falanka2,
6982,falakchi,"wing (of a bird), long feather",CHA-
6983,falakchi tahlichi,"to flap the wings, flutter wings (as a chicken)",-LI/3
6984,falakto,to be forked (as a stick),
6985,falam-,,
6986,falammi,north,
6987,falammi,to wake (someone) up,Other Verb
6988,falámmifa hochiiɬi,"Polaris, North Star",
6989,Falànchi,French person,
6990,falanka,"to be awakened, wake",Other Verb
6991,falanka,"to wake up, awaken, get out of bed, arise, get up (from a fall) (of one)",Other Verb
6992,falánka,"to be alive, be conscious, be awake",CHA-
6993,falkohka,"to wake up, awaken (of two)",-LI
6994,falkoohoka,falkòoka,
6995,falkòoka,"to wake up, awaken (of more than two)",-LI
6996,famohka,Var. of fomòoka,
6997,famòoka,Var. of fomòoka,
6998,famopka,Var. of fomopka,
6999,famotka,Var. of fomopka,
7000,faskachi,"to flake off, peel",
7001,faskòhko,Negative form of faskooli,
7002,faskohli,Var. of faskooli,
7003,faskookìicho,Negative form of faskoolichi,
7004,faskooli,to hatch (of an egg),
7005,faskoolichi,to hatch (an egg),-LI/3
7006,faslichi,to peel (something) off,-LI/3
7007,fatka,"to be told, be known",CHA-
7008,fátko,Negative form of fatli,
7009,fatli,to tell (something),-LI/3
7010,fayka,"to be terminateed, left, stopped",CHA-
7011,fayli,"to stop, quit doing, be through with, go out of business, leave off doing; to leave (someone or something); to release let go of (something)",-LI/CHA-
7012,faylichi,to make (someone) stop; to fire or lay off (someone) (from a job),-LI/CHA-
7013,fayolitka,African violet,
7014,fayolitka maɬátli,wild violet,
7015,fayòoko,Negative form of fayòoli,
7016,fayòoli,"to sway as one walks, swagger, strut, shake the body",CHA-; -LI
7017,fayòolichi,"to sway as one walks, swagger, strut, shake the body (of more than one)",CHA-; -LI
7018,Febwiiri,month of February,
7019,fihka,"to scatter, sow, broadcast seeds (esp. for turnip, collards, and mustard), sprinkle (water)",-LI/3
7020,fíhna,"to be lots, a lot, too; to be real, the real thing",
7021,fiihíkko,Negative form of fihka,
7022,fíina,Var. of fíhna,
7023,fiithachibaski,peacock,
7024,fiitihpo,June bug,
7025,fiito,turkey,
7026,fiitobitka,turkey dance,
7027,fiitobitka talilwa,turkey dance song,
7028,fiitpàhka,peacock,
7029,fiitpàhka hachihobaski,peacock,
7030,fikfihíkko,Negative form of fikfihka,
7031,fikfihka,to chatter (of a squirrel),
7032,fikfihkatíkko,Negative form of fikfihka,
7033,fikohíkko,Negative form of fikohka,
7034,fikohka,to hiccup,CHA-
7035,fikohlichi,to cause the hiccups,-LI/CHA-
7036,filakchi,"to cook in the shell (of corn, peas)",Other Verb
7037,filakchichi,"to cook food in its shell or on the cob (esp. corn, peas)",-LI/3
7038,filam-,,
7039,filammi,"to fork off, take a fork off a main route, branch off, cut off from a main path (of one)",
7040,filammichi,"to make (someone) turn off at a fork in the road, make (someone) change direction",-LI/CHA-
7041,filanka,"road or stream that forks and splits off, side road",
7042,filanka,"to take a fork off a main route, branch off, cut off from a main path; to turn off a path (of one)",Other Verb
7043,filkohka,"to fork off, take a fork off a main route, take a branch off, take a cut off from a main path (of more than one)",-LI
7044,filkohli,"to make (more than one) take a turn off, divert",-LI/CHA-
7045,filkohoka,filkohka,
7046,filkòoka,"to be branching, forking into more than two (as a road or creek)",
7047,fíllanka,"to be forking, have a branch off, have a turn-off (of a road)",
7048,finika,vinegar,
7049,fithoka,fitka,
7050,fitipíkko,Negative form of fitipka,
7051,fitipka,"to dig out, pick out, pull up, get out (one object) that is stuck in, uproot, pluck; to pick the teeth",-LI/3
7052,fitka,"to dig out, pick out (plural objects)",-LI/3
7053,fitokko,"woodpecker, speckled woodpecker",
7054,fittokko,Var. of fitokko,
7055,fofchanassa,yellow jacket,
7056,fofchòkba,green hornet,
7057,fohchòkba,Var. of fofchòkba,
7058,fohchonaska,Var. of fofchanassa,
7059,fohimiisa,"hive, beehive",
7060,fohinchampoli,honey,
7061,fohinchampoli intala,beeswax,
7062,fohinniya,"beeswax, honeycomb",
7063,fohli,"to lick, lap, sip",-LI/CHA-
7064,fohlichi,to make someone lick,-LI/CHA-
7065,foho,"bee, esp. honey bee",
7066,fohobaski,wasp,
7067,foho imaafohka,damp place in the woods where bees congregate; a flower patch where bees go,
7068,foho immikko,queen bee,
7069,foho waayòhka,swarm (of bees),
7070,fokchòkba,Var. of fofchòkba,
7071,fokchòmba,Var. of fofchòkba,
7072,fokoolichi,Var. of fakohlichi,
7073,folo,"shell, esp. oyster shell; clam",
7074,folòoka,"to have the flu, influenza",
7075,folosi,shell,
7076,fomohka,Var. of fomòoka,
7077,fomòoka,"to swing and miss, feint at (repet.), wave, fling, flap, swing (something) around, wag, flutter; to get more than one strike in baseball",Other Verb
7078,fomopka,"to swing and miss, wave, fling, flap (the arms) around, swing (something); to get a strike in baseball",-LI/3
7079,foobaski,Var. of fohobaski,
7080,foochokba,Var. of fofchòkba,
7081,foopachi,"to make a noise as of bees swarming or rain coming; to buzz, hum",
7082,foopachitíkko,Negative form of foopachi,
7083,fooschoba,eagle,
7084,fooschobabitka,eagle dance,
7085,fooshatka,cattle egret,
7086,fooshobàachi,mockingbird,
7087,fooshòllo,kingfisher,
7088,fooshòmma,"summer tanager, scarlet tanager",
7089,foosi,bird (generic),
7090,foosibitka,"eagle dance, bird dance",
7091,foosihissi,"feather, down, small belly feathers",
7092,foosi imìlpa,bird feed,
7093,foosi ittanahka,flock of birds,
7094,foosimiisa,"bird house, bird cage",
7095,foosi nokbibaski,crane,
7096,foosismaɬahkachi,Var. of foosismaɬatkachi,
7097,foosismaɬatkachi,scarecrow,
7098,foosi wìihli,bird dog,
7099,foosiwoksi,feather,
7100,foosláanasi,indoor canary,
7101,foososi,"nestling, little bird",
7102,foospalki,road-runner,
7103,foospolicha,mockingbird,
7104,foossáwwasi,sparrow,
7105,fósi,grandfather; uncle,
7106,foska,"to shed bark, peel (of bark), be peeled",
7107,foskachi,"to shed bark, peel (of bark), be peeled",
7108,fosli,"to shell, hull, shuck (peas), peel (with the hands), take bark off, strip leaves",
7109,fóssòoba,greatgrandfather,AM-p
7110,fotchanaski,Var. of fofchanassa,
7111,foybaski,Var. of fohobaski,
7112,paabalàaka,to lie down on one's side (of one),-LI
7113,paabalàali,to lay (one object) down on top of,-LI/CHA-
7114,paabállàali,"to have (one object) lying on top of something, have propped up",-LI/3
7115,paabokanta,"to be humpbacked, hunchbacked, stooped",
7116,paabokíyyo,Negative form of paaboyya,
7117,paabokko,"to be hunchbacked, humpbacked",CHA-
7118,paabokonta,Var. of paabokanta,
7119,paabonotka,"to be round-shouldered, bent over, hunchbacked, have a crooked back",
7120,paaboyya,"to walk over, walk across a span",-LI/3
7121,paachaaha,"to be over full, overloaded",
7122,paachakissa,to be sticky on top (as a table),
7123,paachakissachi,"to glue, cement on (as formica on top of a counter)",-LI/3
7124,paachanahki,"backbone, spinal column",CHA-
7125,paachìika,"to perch on, sit on top of, alight on (of several)",-LI/3
7126,paachikìika,"to perch on, sit on top of, alight on (of a few)",-LI/3
7127,paachikìili,to lay down (a few things),-LI/CHA-
7128,paachíkkìika,"to ride, sit on top of (of a few)",-LI/3
7129,paachókbaski,"pew, any long bench",
7130,paachókkolìichi,to have left (one thing) sitting out on,-LI/CHA-
7131,paachókkòoli,"to ride (a horse), sit on top of, be settled on, ride in a car, be perched on (as a bird) (of one)",-LI/3
7132,paachokókbaski,Var. of paachókbaski,
7133,paachokòoka,anything for sitting on,
7134,paachokòoka baski,any long piece of sitting furniture,
7135,paachokòoka baskosi,loveseat,
7136,paachokòoka chaahasi,highchair,
7137,paachokòoka choba,any long sitting furniture,
7138,paachokòoka ilbipaabalàaka,"chair arm, armrest",
7139,paachokòoka imachanàilka,back of a chair,
7140,paachokòoka intonòoli íisa,wheelchair,
7141,paachokòoka istiyyabooli,seat of a chair,
7142,paachokòoka iswinàaka,rocking chair,
7143,paachokòoka ittabi,chair leg,
7144,paachokòokasi,stool,
7145,paachokòokasi iyyi paachikìika,foot stool,
7146,paachokòoli,"to sit on top of, perch, alight (as a bird), mount (a horse) (of one)",
7147,paachokoolichi,"to set (one object), seat on top of, to put on top of (e.g. a rock on a stump, a biscuit on the table)",-LI/CHA-/3
7148,paachòoka,Var. of paachokòoka,
7149,paachòoka iswinàaka,Var. of paachokòoka iswinàaka,
7150,paachootli,"to jump on, attack (one)",-LI/CHA-
7151,paafihka,"to spray with (e.g. hair spray or insecticide), spread with",-LI/CHA-
7152,paafiíkko,Negative form of paafihka,
7153,paahaaɬi,to put on (overshoes),-LI/3
7154,paahachàali,"to step on, climb (steps or rungs); to do someone wrong, put down someone (of one)",
7155,paahachaalichi,to put or set (one object) down on (as a shelf),-LI/CHA-/3
7156,paahahpa,"to be renovated, be made like new; to be renewed (as a license)",3; CHA-
7157,paahahpachi,"to make like new, completely overhaul, rebuild, renovate",-LI/3
7158,paahamoffi,"to have a dislocation, sprain (in the upper body)",3/CHA-
7159,paahátchàali,to be standing on,-LI
7160,paahátchalìichi,to rest on (the elbows),-LI/3
7161,paahipli,for there to be snow on top of,
7162,paahísli,to be standing on something,-LI/3
7163,paahislichi,to put (plural objects) on a shelf,-LI/CHA-
7164,paaholikfa,"shirt, blouse, over-garment, outer wear",
7165,paaholisso,"to be written on, filled out, signed",CHA-
7166,paahoopa,"to have a lame back, have a backache",CHA-
7167,paahosso,to fill out (a form),-LI/CHA-
7168,paahossochi,"to rewrite; to transcribe, translate",-LI/CHA-
7169,paahoyya,to drip on,3/CHA-
7170,paahoyyachi,to cause to drip on,-LI/3/CHA-
7171,paakalli,to erase; to sign (one's name); to correct in writing,-LI/3
7172,paakasohka,"to massage the back, rub the back",-LI/CHA-
7173,paalapaachi,Var. of paalapaalichi,
7174,paalapàali,to get on the back or top of (of one),-LI/CHA-
7175,paalapaalichi,to applique; to put (one object) on the back of,-LI/3
7176,paalatíkko,Negative form of paalatka,
7177,paalatka,"to trample, step on, stomp on",-LI/CHA-
7178,pàalki,railroad train,
7179,paaɬiifka,to strain one's back,CHA-
7180,paaɬinitli,to bruise the back,CHA-
7181,paaɬinko,to have a smooth top surface (as a table),
7182,paamaalichi,to throw down on top of,-LI/CHA-/3
7183,páana,top side,Other Verb
7184,paanaɬi,"to put in with, mix (one object) in",-LI/CHA-
7185,paanaɬka,"to intermingle with, mix with (of one or one group)",-LI/CHA-
7186,paani,Var. of pahni,
7187,paani achosòoli,confluence of a stream or river (where it enters the sea),
7188,paanichoba,Var. of pahnichoba,
7189,paanilapaalika,river bank,
7190,paanochi,to roost,Other Verb
7191,paapasli,to wipe off the top of (to clean),-LI/CHA-
7192,paapatàaka,to be spread over the top of (of one),CHA-
7193,paapatàali,to spread over the top of,-LI/3
7194,paapatka,saddle,
7195,paapatka imbahta,saddlebags,
7196,paapatka impaapatkachi,saddle blanket,
7197,paapatka lapàali,"saddle crunch, silver trim on a saddle",
7198,paapatli,to saddle (a horse),-LI/3
7199,paapiɬka,to put down (one object) on top of,-LI/CHA-/3
7200,paapoochka,to squirt on (something or someone),-LI/CHA-
7201,paasatta,armadillo,
7202,paasiipka,to have (the shirt) come untucked,3/CHA-
7203,paasìkhi,camel,
7204,paasoofi,"to spill (a liquid) on, squirt on; to baptize with the hand",-LI/CHA-
7205,paasopatka,"to be bald, cleared off on top, have a clean surface",CHA-
7206,paatalàaka,to have just been set out or put on top of (of one),CHA-
7207,paatalbòoli,"to fix, repair, renovate",-LI/3
7208,paatállàaka,to be located on top of something (of one),CHA-
7209,paatilìika,"to spray with, pour (water) on, water (e.g. the lawn)",-LI/CHA-
7210,paatobiila,to be burned on top,CHA-
7211,paatobiilachi,to burn the top of (especially in baking),-LI/CHA-
7212,paatofka,to spit on,-LI/CHA-
7213,paatohno,"to urge forward, push forward, send (a messenger), delegate, get someone to do something",-LI/CHA-
7214,paatokíhno,Negative form of paatohno,
7215,paatokɬoyotli,"to drool on, slobber on",-LI/CHA-
7216,paatoɬopli,to have dandruff,CHA-
7217,paawoksi,to have the hair or feathers stand up,CHA-
7218,paayaamatli,to scatter (e.g. clothes or papers) around on a surface,-LI/CHA-
7219,paayaasihli,to rinse,-LI/CHA-
7220,paayàaya,"to get on (someone's back or head), be located on (of one)",-LI/CHA-
7221,paayahamatli,Var. of paayaamatli,
7222,paayalotka,"to fill an area, take up all the space",-LI/3
7223,paayíisa,"to be located on top of something, live on a certain spot (of more than one)",-LI/3
7224,paayíkso,Negative form of paayisa,CHA-
7225,paayisa,"to settle on, perch on, alight (as birds) (of more than one)",-LI
7226,paayisaachi,"to scatter, spread, or put on top of",-LI/CHA-
7227,paayoɬa,"to come right up to, approach",-LI/CHA-
7228,pachi,"pigeon, dove",
7229,pachi alpooba,"dove, domesticated pigeon",
7230,pachi alpoyba,Var. of pachi alpooba,
7231,pachinaaɬíika,parrot,
7232,pachiyòsba,"dove, mourning dove, pigeon",
7233,paffichi,"to take out, take away, pick, pull out, pluck",-LI/3
7234,pahka,"to neigh, bray; to whoop, whistle (as a train)",-LI
7235,pahlichi,"to honk, blow (a car horn)",-LI/3
7236,pahni,"creek, stream, bayou",
7237,pahnichoba,"river, esp. the Trinity River",
7238,pahnosi,creek,
7239,pahnosi ostachóssòoli,tributary stream,
7240,pakaalakomahli,honeysuckle,
7241,pakaali,"flower, blossom, bloom, cotton",
7242,pakaali aaboyotlichi,cotton gin,
7243,pakaali bomboki,cotton boll,
7244,pakaali hatka,cotton,
7245,pakaali ilokfa,"cotton cloth; flowered cloth, material",
7246,pakaali ittalòopa istalbòoka,cotton quilt batting,
7247,pakaali tanáyka,"cotton bat (in a roll, for quilting)",
7248,pakaama,"to be tame, gentle, domesticated; to be brave",CHA-
7249,pakáamàasi,"to be tame, gentle",CHA-
7250,pakaamachi,"to tame (an animal), break (a horse)",-LI/3
7251,pakaamachitilka,taming,
7252,pakáamàssi,"to be very tame, gentle, not a bit wild",CHA-
7253,pakakìimo,Negative form of pakaama,
7254,pakfo,"to be decayed, dried up, ruined, deteriorated, lifeless",
7255,pakílko,Negative form of palki,CHA-
7256,pakof-,,
7257,pakoffi,"to fold, bend (one flexible object) with the hands; to close (a pocket knife)",-LI/3
7258,pakofka,"to be folded, be bent, be closed up (of a pocket knife)",Other Verb
7259,pakofka,to close up (of a flower); to have pneumonia,Other Verb
7260,pakohkachi,"to be folded up, be pleated, be crossed (of the arms); to zig-zag; to be crooked",CHA-
7261,pakohkìicho,Negative form of pakohlichi,
7262,pakohlichi,"to fold up, bend (plural objects) backwards, pleat (material); to cross (the arms), bend (the knees), close (the hands); to roll up (e.g. sleeves)",-LI/3
7263,pakoolichi,Var. of pakohlichi,
7264,pakpáaki,"to be frothy, bubbly",
7265,pakpaki,"to foam, bubble, froth; to be soft and fluffy (as cotton); to be sudsy, bubbly",Other Verb
7266,pakpakiichi,"to make something foamy, sudsy, bubbly",-LI/3
7267,pakpakitíkko,Negative form of pakpaki,
7268,pakpakpak,noise made by an automatic weapon,
7269,pakto,mushroom; bottle cork,
7270,palatlichi,to annoy,-LI/CHA-
7271,pali,"flying squirrel, bat",
7272,palíkko,Negative form of palki,CHA-
7273,palíkkotíkko,Negative form of palíkko,
7274,palki,to be fast,CHA-
7275,pàlki aatistàaya,passenger train,
7276,pàlki aatwihàachi,passenger train,
